Fund Name,Abbr,Series,Fund Type,Geography,Objective,Risk Level,Distribution Policy,Fund Size (RM Mil),Launch Date,Status,Outperform Rate (%),Periods Assessed,YTD Fund (%),YTD Benchmark (%),YTD Alpha,1Y Fund (%),1Y Benchmark (%),1Y Alpha,3Y Fund (%),3Y Benchmark (%),3Y Alpha,5Y Fund (%),5Y Benchmark (%),5Y Alpha,10Y Fund (%),10Y Benchmark (%),10Y Alpha,AE YTD,AE 1Y,AE 3Y,AE 5Y,AE 10Y,Alloc: Domestic Equity,Alloc: Foreign Equity,Alloc: Fixed Income / Sukuk,Alloc: Money Market,Alloc: Deposits,Alloc: Other,Geo: USA,Geo: Taiwan,Geo: Korea,Geo: Japan,Geo: France,Geo: Germany,Geo: China,Geo: Singapore,Geo: Netherlands,Geo: Indonesia,Geo: Australia,Geo: Geo Other,Sector: Industrial,Sector: Technology,Sector: Financial,Sector: Communications,Sector: Consumer Discretionary,Sector: Consumer Staples,Sector: Utilities,Sector: Energy,Sector: Materials,Sector: Real Estate,Sector: Other Sector,Top 5 Holdings,Top 5 Sectors,Volatility Factor,Volatility Class,Lipper Class,Benchmark,Source MFR
PUBLIC OPTIMAL GROWTH FUND,POGF,Conventional,Equity,Malaysia,Capital Growth + Income,4,Annual,215.06,08.06.2010,Qualified,60.0,3/5,0.94,2.70,-1.76,5.49,8.15,-2.66,8.42,6.58,1.84,4.25,1.93,2.32,4.13,1.04,3.09,-0.20,-0.30,0.21,0.26,0.35,77.40,17.00,,5.60,,,6.20,3.20,,,,5.10,2.50,,,,,,14.30,,41.20,16.70,,8.30,7.30,,,,,Malayan Banking Berhad | Public Bank Berhad | Tenaga Nasional Berhad | Sunway Berhad | IGB Real Estate Investment Trust,"Financial (41.2%) | Communications (16.7%) | Industrial (14.3%) | Consumer, Non-cyclical (8.3%) | Utilities (7.3%)",8.9,Moderate,Equity Malaysia Income Domestic 25% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC DIVIDEND FUND,PIDF,Shariah,Equity,Malaysia,Income,4,Semi-Annual,3347.73,14.02.2006,Qualified,60.0,3/5,-0.22,0.96,-1.18,2.34,6.76,-4.42,5.89,4.19,1.70,1.36,-0.72,2.08,3.36,0.35,3.01,-0.16,-0.59,0.23,0.28,0.40,71.20,23.60,,5.20,,,9.30,7.90,,,4.50,,1.90,,,,,,,9.00,11.60,20.90,,18.50,9.70,,,,,Tenaga Nasional Berhad | Telekom Malaysia Berhad | Taiwan Semiconductor Manufacturing Company Limited | Gamuda Berhad | IHH Healthcare Berhad,"Communications (20.9%) | Consumer, Non-cyclical (18.5%) | Financial (11.6%) | Utilities (9.7%) | Technology (9.0%)",7.5,Low,Equity Malaysia,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC SAVINGS FUND,PSF,Conventional,Equity,Malaysia,Capital Growth + Income,4,Annual,762.43,29.03.1981,Qualified,60.0,3/5,1.36,2.17,-0.81,2.16,9.01,-6.85,7.30,5.69,1.61,2.72,1.70,1.02,2.68,0.37,2.31,-0.12,-1.01,0.24,0.15,0.34,76.40,17.30,,6.30,,,12.50,,,,4.80,,,,,,,,,,36.20,13.50,12.30,11.40,9.30,,,,,LPI Capital Berhad | Malayan Banking Berhad | Public Bank Berhad | Tenaga Nasional Berhad | Costco Wholesale Corporation,"Financial (36.2%) | Communications (13.5%) | Consumer, Cyclical (12.3%) | Consumer, Non-cyclical (11.4%) | Utilities (9.3%)",6.8,Low,Equity Malaysia Domestic 30% of the fund’s NAV,Note: Distribution yield simply measures the level of distributions and is Kuala Lumpur Composite Index (prior to 6 July 2009). not a measure of fund performance. FTSE Bursa Malaysia KLCI (w.e.f. 6 July 2009).,[MFR FEB26] Public Series Funds.pdf
PUBLIC CHINA ACCESS EQUITY FUND,PCASEF,Conventional,Equity,Greater China,Capital Growth,5,Incidental,980.31,18.04.2013,Qualified,60.0,3/5,-7.78,-5.86,-1.92,10.98,1.41,9.57,0.47,-0.70,1.17,-4.98,-5.00,0.02,4.77,5.01,-0.24,-0.13,0.65,0.08,0.00,-0.02,,91.20,,8.80,,,,,,,,,91.20,,,,,,,12.40,24.90,13.80,14.90,,,,11.20,,,Ping An Insurance (Group) Company of China Limited - A Shares | Contemporary Amperex Technology Company Limited - A Shares | Zhongji Innolight Company Limited - A Shares | Zijin Mining Group Company Limited - A Shares | Hygon Information Technology Company Limited - A Shares,"Financial (24.9%) | Consumer, Cyclical (14.9%) | Communications (13.8%) | Technology (12.4%) | Basic Materials (11.2%)",14.7,Very High,Equity China Greater China,Thebenchmark forPCASEF isacompositeof90% S&P ChinaA 50Indexand 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying index data are sourced from Lipper and Bank Negara Malaysia and expressed in Ringgit terms.,[MFR FEB26] Public Series Funds.pdf
PUBLIC AGGRESSIVE GROWTH FUND,PAGF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,251.31,25.04.1994,Qualified,60.0,3/5,0.26,2.17,-1.91,5.01,9.01,-4.00,6.84,5.69,1.15,3.65,1.70,1.95,4.06,0.37,3.69,-0.25,-0.53,0.15,0.26,0.49,76.40,19.00,,4.60,,,12.90,,,,2.40,,3.70,,,,,,,6.20,34.50,20.60,,11.80,8.90,,,,,Malayan Banking Berhad | Public Bank Berhad | Tenaga Nasional Berhad | Meta Platforms Incorporated | NVIDIA Corporation,"Financial (34.5%) | Communications (20.6%) | Consumer, Non-cyclical (11.8%) | Utilities (8.9%) | Technology (6.2%)",7.5,Low,Equity Malaysia Domestic 30% of the fund’s NAV,Kuala Lumpur Composite Index (prior to 6 July 2009). FTSE Bursa Malaysia KLCI (w.e.f. 6 July 2009).,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC ALPHA-40 GROWTH FUND,PIA40GF,Shariah,Equity,Malaysia,Capital Growth,4,Incidental,389.46,16.11.2010,Qualified,60.0,3/5,0.08,3.70,-3.62,7.83,12.03,-4.20,7.44,6.40,1.04,1.32,0.07,1.25,4.32,1.92,2.40,-0.45,-0.52,0.13,0.15,0.30,75.40,17.10,,7.50,,,13.10,4.00,,,,,,,,,,,11.70,,11.10,24.30,,21.10,10.30,,,,,Tenaga Nasional Berhad | Telekom Malaysia Berhad | QL Resources Berhad | Press Metal Aluminium Holdings Berhad | Malayan Cement Berhad,"Communications (24.3%) | Consumer, Non-cyclical (21.1%) | Industrial (11.7%) | Financial (11.1%) | Utilities (10.3%)",8.1,Moderate,Equity Malaysia Domestic,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC ENTERPRISES EQUITY FUND,PIENTEF,Shariah,Equity,Malaysia,Capital Growth,4,Incidental,264.61,18.03.2015,Qualified,60.0,3/5,-1.10,2.90,-4.00,6.00,12.50,-6.50,7.85,6.88,0.97,2.28,0.64,1.64,2.98,1.73,1.25,-0.47,-0.76,0.11,0.19,0.15,76.10,18.90,,5.00,,,12.90,,,,2.70,,3.30,,,,,,,,11.10,17.90,9.00,25.00,10.20,,,,,Tenaga Nasional Berhad | QL Resources Berhad | Telekom Malaysia Berhad | IHH Healthcare Berhad | NVIDIA Corporation,"Consumer, Non-cyclical (25.0%) | Communications (17.9%) | Financial (11.1%) | Utilities (10.2%) | Consumer, Cyclical (9.0%)",8.6,Moderate,Equity Malaysia Domestic,"ThebenchmarkforPIENTEFisacompositeof75%FTSEBursaMalaysiaHijrah ShariahIndex,15%customisedindexbyS&PDowJonesIndices,LLCbasedon top 100 constituents bymarket capitalisation of theS&P ShariahBMIAsiaEx- Japan Index and 10% 3-Month Islamic Interbank Money Market (IIMM) rate. UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC EQUITY FUND,PIEF,Shariah,Equity,Malaysia,Capital Growth,4,Incidental,1420.11,28.05.2003,Qualified,60.0,3/5,-2.23,1.00,-3.23,2.36,7.06,-4.70,5.17,4.20,0.97,1.14,-1.20,2.34,2.93,-0.03,2.96,-0.44,-0.64,0.13,0.32,0.40,70.70,15.50,,13.80,,,11.00,,,,,,4.50,,,,,,9.40,,,25.20,,20.80,10.70,7.00,,,,Tenaga Nasional Berhad | Telekom Malaysia Berhad | IHH Healthcare Berhad | QL Resources Berhad | Press Metal Aluminium Holdings Berhad,"Communications (25.2%) | Consumer, Non-cyclical (20.8%) | Utilities (10.7%) | Industrial (9.4%) | Energy (7.0%)",7.4,Low,Equity Malaysia Domestic,2023 1.00 31.5.23 3.2 Kuala Lumpur Syariah Index (prior to 1 November 2007). FTSE Bursa Malaysia EMAS Shariah Index (w.e.f. 1 November 2007). Note: Distribution yield simply measures the level of distributions and is not,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB ISLAMIC EQUITY FUND,PBIEF,Conventional,Equity,Malaysia,Capital Growth,4,Incidental,210.02,05.09.2005,Qualified,60.0,3/5,0.14,1.00,-0.86,3.35,7.06,-3.71,5.14,4.20,0.94,1.09,-1.20,2.29,2.61,-0.03,2.64,-0.10,-0.45,0.11,0.28,0.32,13.90,68.70,,17.40,,,9.10,,,,,,4.80,,,,,,20.20,,8.70,16.00,,13.80,10.50,,,,,Tenaga Nasional Berhad | Press Metal Aluminium Holdings Berhad | HEICO Corporation | TIME dotCom Berhad | Sunway Construction Group Berhad,"Industrial (20.2%) | Communications (16.0%) | Consumer, Non-cyclical (13.8%) | Utilities (10.5%) | Financial (8.7%)",8.3,Moderate,Equity Malaysia,,[MFR FEB26] PB Series Funds.pdf
PUBLIC GROWTH FUND,PGF,Conventional,Equity,Malaysia,Capital Growth + Income,4,Incidental,786.13,11.12.1984,Qualified,60.0,3/5,-1.10,2.17,-3.27,3.78,9.01,-5.23,6.26,5.69,0.57,4.16,1.70,2.46,3.78,0.37,3.41,-0.47,-0.75,0.08,0.35,0.49,75.20,22.40,,2.40,,,14.50,,,,2.60,,5.30,,,,,,,7.00,34.70,23.10,,7.60,11.60,,,,,Malayan Banking Berhad | Public Bank Berhad | Tenaga Nasional Berhad | Telekom Malaysia Berhad | Meta Platforms Incorporated,"Financial (34.7%) | Communications (23.1%) | Utilities (11.6%) | Consumer, Non-cyclical (7.6%) | Technology (7.0%)",7.0,Low,Equity Malaysia Domestic 30% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PUBLIC INDONESIA SELECT FUND,PINDOSF,Shariah,Equity,Indonesia,Capital Growth,5,Incidental,521.54,01.09.2010,Qualified,60.0,3/5,-4.04,-8.89,4.85,-5.92,4.35,-10.27,-8.91,-8.40,-0.51,-3.39,-4.50,1.11,-1.20,-2.05,0.85,0.37,-0.78,-0.04,0.08,0.06,0.40,86.10,,13.50,,,3.80,,,,,,4.50,1.60,,76.20,,,,,34.90,15.20,15.50,13.40,,,7.00,,,PT Bank Mandiri (Persero) Tbk | Bank Rakyat Indonesia (Persero) Tbk | Bank Central Asia Tbk | PT Merdeka Copper Gold Tbk | Mitra Adiperkasa Tbk,"Financial (34.9%) | Consumer, Cyclical (15.5%) | Communications (15.2%) | Consumer, Non-cyclical (13.4%) | Basic Materials (7.0%)",13.2,High,Equity Indonesia ASEAN,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC OPTIMAL GROWTH FUND,PIOGF,Shariah,Equity,Malaysia,Capital Growth + Income,4,Annual,121.11,08.04.2008,Qualified,60.0,3/5,1.90,1.00,0.90,3.27,7.06,-3.79,3.40,4.20,-0.80,0.98,-1.20,2.18,1.39,-0.03,1.42,0.12,-0.51,-0.11,0.29,0.19,75.70,20.80,,3.50,,,8.00,8.00,,,4.80,,,,,,,,11.30,,16.30,16.60,,12.30,,10.10,,,,Tenaga Nasional Berhad | Telekom Malaysia Berhad | Taiwan Semiconductor Manufacturing Company Limited | Press Metal Aluminium Holdings Berhad | IHH Healthcare Berhad,"Communications (16.6%) | Financial (16.3%) | Consumer, Non-cyclical (12.3%) | Industrial (11.3%) | Energy (10.1%)",7.5,Low,Equity Malaysia Domestic,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC SINGAPORE EQUITY FUND,PSGEF,Conventional,Equity,Singapore,Capital Growth,5,Incidental,601.49,07.06.2011,Qualified,60.0,3/5,2.52,1.74,0.78,12.43,11.54,0.89,11.90,13.01,-1.11,7.67,9.69,-2.02,7.59,6.18,1.41,0.09,0.10,-0.12,-0.22,0.15,1.00,94.00,,5.00,,,11.30,8.10,,,,,,74.60,,,,,22.80,15.30,35.10,18.40,3.40,,,,,,,DBS Group Holdings Limited | Taiwan Semiconductor Manufacturing Company Limited | Keppel Limited | CSE Global Limited | Oversea-Chinese Banking Corporation Limited,"Financial (35.1%) | Industrial (22.8%) | Communications (18.4%) | Technology (15.3%) | Consumer, Cyclical (3.4%)",9.1,Moderate,Equity Singapore ASEAN,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC ASIA TACTICAL ALLOCATION FUND,PIATAF,Shariah,Mixed Asset / Balanced,Asia,Capital Growth,5,Incidental,3164.64,21.08.2007,Qualified,100.0,5/5,31.59,14.91,16.68,68.79,29.51,39.28,30.11,13.41,16.70,10.90,3.57,7.33,12.94,7.69,5.25,0.79,1.86,0.79,0.35,0.25,,97.80,,2.20,,,,54.70,34.90,1.90,,,6.30,,,,,,40.40,49.00,,8.40,,,,,,,,Samsung Electronics Company Limited | SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | HD Hyundai Electric Company Limited | Unimicron Technology Corporation,Technology (49.0%) | Industrial (40.4%) | Communications (8.4%),21.1,Very High,Mixed Asset MYR Asia,"The benchmark for PIATAF is a composite of 70% S&P Shariah BMI Asia Ex- JapanIndexand30%3-MonthIslamicInterbankMoneyMarket(IIMM)rate(w.e.f. 12 December 2011). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandBank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC e-FLEXI ALLOCATION FUND,PeFAF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth + Income,5,Incidental,142.64,14.07.2017,Qualified,100.0,4/4,2.21,1.69,0.52,11.31,7.44,3.87,9.71,5.14,4.57,4.44,2.22,2.22,,,,0.05,0.36,0.43,0.21,,64.00,25.20,,10.80,,,13.30,7.20,4.70,,,,,,,,,,24.30,11.90,18.40,14.70,,,10.00,,,,,Malayan Banking Berhad | Tenaga Nasional Berhad | Taiwan Semiconductor Manufacturing Company Limited | Gamuda Berhad | HD Hyundai Electric Company Limited,Industrial (24.3%) | Financial (18.4%) | Communications (14.7%) | Technology (11.9%) | Utilities (10.0%),10.7,High,Mixed Asset MYR Domestic 30% of the fund’s NAV,ThebenchmarkforPeFAFisacompositeof70%FTSEBursaMalaysiaKLCIand 30% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying index data are sourced from Lipper and Bank Negara Malaysia.,[MFR FEB26] Public e-Series Funds.pdf
PUBLIC ISLAMIC MIXED ASSET FUND,PIMXAF,Shariah,Mixed Asset / Balanced,Malaysia,Capital Growth,4,Incidental,1363.56,20.09.2005,Qualified,80.0,4/5,-0.48,0.86,-1.34,8.25,6.10,2.15,10.62,4.13,6.49,3.29,0.20,3.09,4.08,1.08,3.00,-0.18,0.29,0.88,0.42,0.41,43.30,21.60,30.40,4.70,,,8.30,4.00,5.90,,,,3.40,,,,,,20.40,,,14.80,,7.80,9.80,,6.30,,,Tenaga Nasional Berhad | Press Metal Aluminium Holdings Berhad | HD Hyundai Electric Company Limited | Telekom Malaysia Berhad | IHH Healthcare Berhad,"Industrial (20.4%) | Communications (14.8%) | Utilities (9.8%) | Consumer, Non-cyclical (7.8%) | Basic Materials (6.3%)",7.4,Low,Mixed Asset MYR,ThebenchmarkforPIMXAFisacompositeof70%FTSEBursaMalaysiaEMAS ShariahIndexand30%3-MonthIslamicInterbankMoneyMarket(IIMM)rate(w.e.f. 12 December 2011). Underlying index data are sourced from Lipper and Bank Negara Malaysia.,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC TACTICAL ALLOCATION FUND,PTAF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth + Income,5,Incidental,581.84,23.01.2007,Qualified,80.0,4/5,8.49,0.68,7.81,12.84,9.31,3.53,14.95,8.87,6.08,-1.32,1.07,-2.39,6.39,5.75,0.64,0.42,0.19,0.33,-0.13,0.03,,83.30,,16.70,,,15.10,32.90,24.50,,,,10.80,,,,,,21.30,47.20,,12.40,2.40,,,,,,,SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Hon.Precision Incorporated | Samsung Electronics Company Limited | HD Hyundai Electric Company Limited,"Technology (47.2%) | Industrial (21.3%) | Communications (12.4%) | Consumer, Cyclical (2.4%)",18.5,Very High,Mixed Asset MYR Flexible Global,"The benchmark for PTAF is a composite of 70% MSCI AC Far-East Ex-Japan Index (prior to 30 April 2021), 70% S&P Pan Asia Ex-Japan, Australia, NewZealand&IndiaLargeCapIndex(30April2021to1January2024),40%S&P UnitedStatesLargeCapIndex,15%customisedindexbyS&PDowJonesIndices, LLCbasedonthetop30constituentsoftheS&PBMIAsiaEx-JapanIndex,15% TOPIX Core 30 Index (w.e.f. 2 January 2024) and 30% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR) (w.e.f. 12 December 2011). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC FAR-EAST BALANCED FUND,PFEBF,Conventional,Mixed Asset / Balanced,Asia Pacific,Capital Growth + Income,4,Incidental,220.09,23.01.2007,Qualified,80.0,4/5,8.55,7.23,1.32,19.15,18.41,0.74,11.29,10.70,0.59,2.73,2.91,-0.18,6.44,6.22,0.22,0.12,0.07,0.05,-0.02,0.02,1.10,55.10,32.70,11.10,,,2.30,17.60,19.80,,,,15.40,,,,,,11.70,28.70,1.00,13.60,1.20,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | SK Hynix Incorporated | Samsung Electronics Company Limited | HD Hyundai Electric Company Limited,"Technology (28.7%) | Communications (13.6%) | Industrial (11.7%) | Consumer, Cyclical (1.2%) | Financial (1.0%)",10.8,High,Asia,"The benchmark for PFEBF is a composite of 60% MSCI AC Far-East Ex-Japan Index (prior to 30 April 2021), 60% S&P Pan Asia Ex-Japan, Australia, New Zealand & India LargeCap Index(30 April 2021 to 1 January2025), 60% S&P Pan Asia Ex-Japan, Australia, New Zealand & India LargeCap 8% Capped Index (w.e.f. 2 January 2025) and 40% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC e-ISLAMIC FLEXI ALLOCATION FUND,PeIFAF,Shariah,Mixed Asset / Balanced,Malaysia,Capital Growth,4,Incidental,46.57,03.04.2018,Qualified,75.0,3/4,-0.96,0.13,-1.09,10.26,6.48,3.78,8.65,4.55,4.10,1.55,0.72,0.83,,,,-0.12,0.40,0.44,0.09,,23.70,70.40,,5.90,,,16.30,7.40,,,,,,,,,,,24.30,11.60,,24.20,10.10,,10.50,,,,,Tenaga Nasional Berhad | Telekom Malaysia Berhad | Malayan Cement Berhad | Taiwan Semiconductor Manufacturing Company Limited | Frontken Corporation Berhad,"Industrial (24.3%) | Communications (24.2%) | Technology (11.6%) | Utilities (10.5%) | Consumer, Cyclical (10.1%)",9.4,Moderate,Mixed Asset MYR Domestic,The benchmark for PeIFAF is a composite of 70% FTSE Bursa Malaysia Hijrah Shariah Index and 30% 3-Month Islamic Interbank Money Market (IIMM) rate. Underlying index data are sourced from Lipper and Bank Negara Malaysia.,[MFR FEB26] Public e-Series Funds.pdf
PB BALANCED SEQUEL FUND,PBBSQF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth,3,Incidental,38.41,10.09.2013,Qualified,60.0,3/5,-0.70,1.52,-2.22,-1.28,6.89,-8.17,8.31,4.93,3.38,4.06,2.37,1.69,4.23,1.62,2.61,-0.29,-1.07,0.44,0.22,0.34,37.20,12.90,39.90,10.00,,,2.50,,,,,,10.40,,,,,,2.20,8.00,22.20,4.90,,,9.70,,,,,Malayan Banking Berhad | Tenaga Nasional Berhad | LPI Capital Berhad | Sunway Berhad | Alibaba Group Holding Limited - W,Financial (22.2%) | Utilities (9.7%) | Technology (8.0%) | Communications (4.9%) | Industrial (2.2%),7.6,Low,Mixed Asset MYR Domestic,Public Balanced Equity Index (PBEIX) is a composite of 60% the returns of the FTSE Bursa Malaysia KLCI and 40% the returns on 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). The Index is an appropriate performance benchmark for balanced fund. Underlying index data are sourced from Lipper and Bank Negara Malaysia.,[MFR FEB26] PB Series Funds.pdf
PUBLIC SELECT MIXED ASSET GROWTH FUND,PSMAGF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth + Income,4,Incidental,29.22,16.10.2014,Qualified,60.0,3/5,0.77,1.69,-0.92,6.87,7.44,-0.57,7.84,5.14,2.70,2.62,2.22,0.40,5.13,1.32,3.81,-0.11,-0.07,0.33,0.05,0.47,39.80,25.80,30.70,3.70,,,10.00,5.90,6.00,,,,3.90,,,,,,14.40,10.10,15.10,8.50,,,10.30,,,,,Tenaga Nasional Berhad | Malayan Banking Berhad | Hanwha Aerospace Company Limited | Taiwan Semiconductor Manufacturing Company Limited | Sunway Berhad,Financial (15.1%) | Industrial (14.4%) | Utilities (10.3%) | Technology (10.1%) | Communications (8.5%),8.1,Moderate,Mixed Asset MYR Domestic 30% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PUBLIC GROWTH BALANCED FUND,PGRBF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth,3,Incidental,27.54,07.10.2015,Qualified,60.0,3/5,-0.52,1.52,-2.04,2.15,6.89,-4.74,6.77,4.93,1.84,3.71,2.37,1.34,6.62,1.62,5.00,-0.34,-0.79,0.31,0.22,0.83,29.60,21.70,43.70,5.00,,,13.30,5.80,,,,,2.60,,,,,,6.40,13.30,,13.80,,4.20,8.00,,,,,Tenaga Nasional Berhad | Taiwan Semiconductor Manufacturing Company Limited | TIME dotCom Berhad | NVIDIA Corporation | Frontken Corporation Berhad,"Communications (13.8%) | Technology (13.3%) | Utilities (8.0%) | Industrial (6.4%) | Consumer, Non-cyclical (4.2%)",6.0,Low,Domestic 25% of the fund’s NAV,ThebenchmarkforPGRBFisacompositeof60%FTSEBursaMalaysiaKLCIand 40% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying index data are sourced from Lipper and Bank Negara Malaysia.,[MFR FEB26] Public Series Funds.pdf
PUBLIC EHSAN MIXED ASSET CONSERVATIVE FUND,PESMACF,Shariah,Mixed Asset / Balanced,Malaysia,Capital Growth + Income,3,Annual,860.12,25.11.2014,Qualified,60.0,3/5,0.00,0.33,-0.33,3.25,5.00,-1.75,5.72,4.11,1.61,2.78,1.98,0.80,5.42,2.13,3.29,-0.10,-0.51,0.47,0.24,0.97,15.20,15.00,60.20,9.60,,,9.40,3.60,,,2.00,,,,,,,,1.60,5.40,,10.40,3.90,,6.40,,,,,Tenaga Nasional Berhad | Taiwan Semiconductor Manufacturing Company Limited | Alphabet Incorporated - Class A | Meta Platforms Incorporated | Telekom Malaysia Berhad,"Communications (10.4%) | Utilities (6.4%) | Technology (5.4%) | Consumer, Cyclical (3.9%) | Industrial (1.6%)",3.4,Very Low,Mixed Asset MYR,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB MIXED ASSET CONSERVATIVE FUND,PBMAC,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth + Income,3,Annual,103.67,15.01.2013,Qualified,60.0,3/5,-1.32,1.11,-2.43,1.82,5.46,-3.64,5.94,4.38,1.56,2.75,2.71,0.04,4.62,2.31,2.31,-0.49,-0.73,0.31,0.01,0.46,8.30,18.20,60.90,12.60,,,11.70,,3.70,,,,2.80,,,,,,3.70,6.80,2.70,6.70,,,3.30,,,,,Alphabet Incorporated - Class A | Advanced Micro Devices Incorporated | HD Hyundai Electric Company Limited | Tenaga Nasional Berhad | Broadcom Incorporated,Technology (6.8%) | Communications (6.7%) | Industrial (3.7%) | Utilities (3.3%) | Financial (2.7%),5.0,Low,Mixed Asset MYR Domestic,ThebenchmarkforPBMACisacompositeof65%3-MonthKualaLumpurInterbank Offered Rate (KLIBOR) and 35% FTSE Bursa Malaysia KLCI (FBM KLCI). Underlying index data are sourced from Lipper and Bank Negara Malaysia.,[MFR FEB26] PB Series Funds.pdf
PUBLIC SELECT MIXED ASSET CONSERVATIVE FUND,PSMACF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth + Income,3,Annual,146.06,16.10.2014,Qualified,60.0,3/5,-1.41,1.11,-2.52,3.68,5.46,-1.78,5.83,4.38,1.45,3.54,2.71,0.83,4.90,2.31,2.59,-0.55,-0.39,0.32,0.18,0.56,15.00,15.90,60.40,8.70,,,9.90,3.90,,,,,2.10,,,,,,9.60,5.30,,8.80,1.70,,4.50,,,,,Southern Cable Group Berhad | Tenaga Nasional Berhad | Alphabet Incorporated - Class A | Taiwan Semiconductor Manufacturing Company Limited | Frontken Corporation Berhad,"Industrial (9.6%) | Communications (8.8%) | Technology (5.3%) | Utilities (4.5%) | Consumer, Cyclical (1.7%)",4.6,Low,Mixed Asset MYR Domestic 25% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PB BALANCED FUND,PBBF,Conventional,Mixed Asset / Balanced,Malaysia,Capital Growth + Income,3,Incidental,355.79,05.05.1998,Qualified,60.0,3/5,-2.06,1.52,-3.58,-0.09,6.89,-6.98,6.38,4.93,1.45,3.37,2.37,1.00,3.86,1.62,2.24,-0.56,-1.09,0.23,0.16,0.35,34.90,14.40,40.60,10.10,,,8.60,,,,,,5.80,,,,,,6.40,3.80,9.80,15.00,,,9.50,,,,,Tenaga Nasional Berhad | Public Bank Berhad | Alibaba Group Holding Limited - W | Frontken Corporation Berhad | QL Resources Berhad,Communications (15.0%) | Financial (9.8%) | Utilities (9.5%) | Industrial (6.4%) | Technology (3.8%),6.4,Low,Mixed Asset MYR Domestic,"Public Balanced Equity Index (PBEIX) is a composite of 60% the returns of the KualaLumpurCompositeIndex(priorto6July2009),60%thereturnsoftheFTSE BursaMalaysiaKLCI(w.e.f.6July2009)and40% thereturnson3-MonthKuala LumpurInterbankOfferedRate(KLIBOR).TheIndexisanappropriateperformance benchmark for balanced fund. Underlying index data are sourced from Lipper and Bank Negara Malaysia.",[MFR FEB26] PB Series Funds.pdf
